log	script	architecture	cpuinfo	cores	processes	implementation	cores_used	i	repeat	number	avg_time	runtime

INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	279	PyPy	4	10000000	2	3	1.71728646755	3.43516182899
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	279	PyPy	4	100000000	2	3	24.2636675835	48.5278708935
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	285	PyPy	1	100000	2	3	0.0743910074234	0.149277925491
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	285	PyPy	1	1000000	2	3	0.115410447121	0.231475114822
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	285	PyPy	1	10000000	2	3	0.408020019531	0.816632032394
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	1	1000	2	3	0.0170545578003	0.0377609729767
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	1	100	2	3	0.0125555992126	0.0280690193176
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	PyPy	1	100	2	3	0.0394960641861	0.0794320106506
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	4	100	2	3	0.0187259912491	0.0409867763519
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	PyPy	4	100	2	3	0.0486450195312	0.0977470874786
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	4	100000000	2	3	45.5673860312	91.1377179623
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	PyPy	4	100000000	2	3	24.9429655075	49.8863899708
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	285	CPython	1	100000000	2	3	156.091040015	312.185609102
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	4	1000000000	2	3	518.082839608	1036.16862202
INFO:__main__:	multicore-bench.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	285	PyPy	4	1000000000	2	3	317.265128016	634.530694008
