log	script	architecture	cpuinfo	cores	processes	implementation	cores_used	i	pi	runtime

INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	1	100	3.133787490628161975791954318992793560028076171875	0.016117811203
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	1	10000	3.14151411868195662435709891724400222301483154296875	0.0181529521942
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	PyPy	1	10000	3.14151411868195662435709891724400222301483154296875	0.070643901825
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	1	1000000	3.141591868192148861993473474285565316677093505859375	0.438812971115
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	PyPy	1	1000000	3.141591868192148861993473474285565316677093505859375	0.0845859050751
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	PyPy	4	1000000	3.141591868192112002589055919088423252105712890625	0.174510002136
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	4	1000000	3.141591868192112002589055919088423252105712890625	0.144361019135
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	4	10000000	3.141592574990816455482445235247723758220672607421875	1.25372099876
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	PyPy	4	10000000	3.141592574990816455482445235247723758220672607421875	0.613320112228
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	4	1000000	3.141591868192112002589055919088423252105712890625	0.157705068588
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	PyPy	4	1000000	3.141591868192112002589055919088423252105712890625	0.127701997757
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	4	100000000	3.1415926368663509293810420786030590534210205078125	14.9044721127
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	PyPy	4	100000000	3.1415926368663509293810420786030590534210205078125	8.39301300049
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	4	1000000000	3.1415926368663509293810420786030590534210205078125	175.603421926
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	PyPy	4	1000000000	3.1415926368663509293810420786030590534210205078125	106.298804045
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	285	CPython	1	10000000	3.141592575080853322333496180362999439239501953125	4.01223683357
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	PyPy	1	10000000	3.141592575080853322333496180362999439239501953125	0.181567192078
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	CPython	1	100000000	3.141592643066262180440162410377524793148040771484375	50.5426678658
INFO:__main__:	multicore.py	x86_64	 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz	4	284	PyPy	4	100000000	3.1415926368663509293810420786030590534210205078125	8.23442196846
