log	script	host	cores_used	processes_running	i	time	pi

INFO:__main__:	multicore.py	archlinuxdesktop	4	240	10000000	0:00:01.184355	3.141592574990816455482445235247723758220672607421875
INFO:__main__:	multicore.py	archlinuxdesktop	4	240	10000000	0:00:01.175578	3.141592574990816455482445235247723758220672607421875
INFO:__main__:	multicore.py	archlinuxdesktop	4	240	10000000	0:00:01.165686	3.141592574990816455482445235247723758220672607421875
INFO:__main__:	multicore.py	archlinuxdesktop	4	240	10000000	0:00:01.238827	3.141592574990816455482445235247723758220672607421875
INFO:__main__:	multicore.py	archlinuxdesktop	4	240	10000000000	1:09:28.717623	3.1415926368663509293810420786030590534210205078125
INFO:__main__:	multicore.py	archlinuxdesktop	1	241	1000000000	0:09:49.011315	3.141592643066262180440162410377524793148040771484375
INFO:__main__:	multicore.py	archlinuxdesktop	4	240	1000000000	0:02:50.859748	3.1415926368663509293810420786030590534210205078125
INFO:__main__:	multicore.py	archlinuxdesktop	4	244	4	0:00:00.013680	2.972154195011337041165688788169063627719879150390625
INFO:__main__:	multicore.py	archlinuxdesktop	1	244	4	0:00:00.012415	2.972154195011337041165688788169063627719879150390625
INFO:__main__:	multicore.py	archlinuxdesktop	1	244	40	0:00:00.012137	3.12226032642143724871175436419434845447540283203125
INFO:__main__:	multicore.py	archlinuxdesktop	4	244	40	0:00:00.012747	3.12226032642143724871175436419434845447540283203125
INFO:__main__:	multicore.py	archlinuxdesktop	4	245	10	0:00:00.014990	3.067703806643498953832249753759242594242095947265625
INFO:__main__:	multicore.py	archlinuxdesktop	1	245	10	0:00:00.011693	3.0677038066434985097430399036966264247894287109375
INFO:__main__:	multicore.py	archlinuxdesktop	1	245	100	0:00:00.012269	3.133787490628161975791954318992793560028076171875
INFO:__main__:	multicore.py	archlinuxdesktop	4	245	100	0:00:00.012906	3.1337874906281637521487937192432582378387451171875
INFO:__main__:	multicore.py	archlinuxdesktop	4	245	1000	0:00:00.013654	3.1408077460303953643006025231443345546722412109375
INFO:__main__:	multicore.py	archlinuxdesktop	1	245	1000	0:00:00.012768	3.140807746030402025638750274083577096462249755859375
INFO:__main__:	multicore.py	archlinuxdesktop	4	245	10000	0:00:00.015273	3.141514118681930423093717763549648225307464599609375
INFO:__main__:	multicore.py	archlinuxdesktop	1	245	10000	0:00:00.018217	3.14151411868195662435709891724400222301483154296875
INFO:__main__:	multicore.py	archlinuxdesktop	1	245	100000	0:00:00.066248	3.1415847996572470179899028153158724308013916015625
INFO:__main__:	multicore.py	archlinuxdesktop	4	245	100000	0:00:00.027833	3.1415847996571795164300056057982146739959716796875
INFO:__main__:	multicore.py	archlinuxdesktop	4	245	1000000	0:00:00.139623	3.141591868192112002589055919088423252105712890625
INFO:__main__:	multicore.py	archlinuxdesktop	1	245	1000000	0:00:00.455918	3.141591868192148861993473474285565316677093505859375
INFO:__main__:	multicore.py	archlinuxdesktop	1	245	10000000	0:00:04.051122	3.141592575080853322333496180362999439239501953125
INFO:__main__:	multicore.py	archlinuxdesktop	4	245	10000000	0:00:01.151594	3.141592574990816455482445235247723758220672607421875
INFO:__main__:	multicore.py	archlinuxdesktop	1	245	100000000	0:00:49.340675	3.141592643066262180440162410377524793148040771484375
INFO:__main__:	multicore.py	archlinuxdesktop	4	245	100000000	0:00:15.117687	3.1415926368663509293810420786030590534210205078125
INFO:__main__:	multicore.py	archlinuxdesktop	1	245	1000000000	0:09:55.558667	3.141592643066262180440162410377524793148040771484375
INFO:__main__:	multicore.py	archlinuxdesktop	4	247	1000000000	0:02:51.962912	3.1415926368663509293810420786030590534210205078125
INFO:__main__:	multicore.py	archlinuxdesktop	4	250	100000000000	13:52:03.329910	3.1415926368663509293810420786030590534210205078125
INFO:__main__:	multicore.py	archlinuxdesktop	4	258	1000	0:00:00.013858	3.1408077460303953643006025231443345546722412109375
INFO:__main__:	multicore.py	archlinuxdesktop	4	258	1000	0:00:00.013653	3.1408077460303953643006025231443345546722412109375
INFO:__main__:	multicore.py	archlinuxdesktop	2	258	1000	0:00:00.012710	3.140807746030398472925071473582647740840911865234375
INFO:__main__:	multicore.py	archlinuxdesktop	4	258	100000	0:00:00.027849	3.1415847996571795164300056057982146739959716796875
INFO:__main__:	multicore.py	archlinuxdesktop	3	259	100000	0:00:00.034679	3.141584799657348270329748629592359066009521484375
INFO:__main__:	multicore.py	archlinuxdesktop	2	258	100000	0:00:00.039461	3.141584799657235915759656563750468194484710693359375
INFO:__main__:	multicore.py	archlinuxdesktop	1	258	100000	0:00:00.066708	3.1415847996572470179899028153158724308013916015625
INFO:__main__:	multicore.py	archlinuxdesktop	1	258	1000000	0:00:00.439428	3.141591868192148861993473474285565316677093505859375
INFO:__main__:	multicore.py	archlinuxdesktop	2	241	10000000000	2:06:36.199295	3.141592636097538360218095476739108562469482421875
INFO:__main__:	multicore.py	archlinuxdesktop	4	238	10000000000	1:09:33.643785	3.1415926368663509293810420786030590534210205078125
